s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
128,Jackson Pollock,Yellow Islands,abstract expressionism,Tate,1,FALSE,painting,"painting, oil on canvas",144 x 185 cm,1952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,0,2,0,4,4,FALSE,0,5,5,"overlapping, dripping paint, gravity & different paint thicknesses, painting on the ground from all sides, not touching the canvas, ambiguity, some hesitancy"
353,Merce Cunningham,Suite by Chance (Movement Chart II C-D-E Extensions),,MoMA,1,TRUE,drawing,"drawing, ballpoint pen & pencil on graph paper",18 x 17 cm,1952,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,4,4,FALSE,0,5,0,"repetition, grid, notations, words, erasure, scribbles, choice, multidirection notation on squared paper, use of chance, choreographic chart to follow for performance - movement chart II. едМЭМЏchoreography by chance,едМЭеќ a technique in which selected isolated movements are assigned sequence by such random methods as tossing a coin - in Suite by Chance the movement patterns themselves were so constructed"
356,Sylvia Wald,Spirit's Constellation,,MoMA,1,FALSE,print,"print, serigraph, printed in color",39 x 52 cm,1952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,1,3,1,3,4,FALSE,3,5,5,"overlaying & texture, liquid materials, vaporous shapes, crisp parallel small notations grouped in different orientations almost looks like closeup of textural wool or scientific cells, partly curving out in different directions from center, one splash of color, hard to tell what the space is & what it is"
42,Gaspar Gasparian ,Mediunic,modernism,Tate,13,FALSE,photography,"photo, gelatin silver print on paper",40 x 29 cm,1952,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,2,0,0,0,2,FALSE,0,3,5,"fragmented, split object, reconfigured, unconventional darkroom techniques, where is the object? behind glass?"
194,John Wells,Abstract,abstraction,Tate,9,FALSE,print,"print, lithograph on paper",32 x 41 mm,1952,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,4,4,0,0,3,FALSE,0,5,5,"semi-transparent areas, overlaid shapes in space which are grainy, scratched & partly see-through"
10,Willi Baumeister,Untitled (Suspended Lines I) ,abstraction,Tate,5,FALSE,print,"print, lithograph on paper",26 x 21 cm,1953,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,1,0,4,3,FALSE,0,5,0,"lines don't meet, orientation of lines creates spatial effect, overlapping, space inbetween, diff weights of line, hard to work out what the lines describe"
363,M.  Escher ,Relativity,,MoMA,18,FALSE,print,"print, lithograph",30 x 29 cm,1953,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,0,5,1,FALSE,0,5,5,"space & different mathematical perspectives combined together, space changes as you look at different parts of the image, different orientations, different surfaces, multiple stairways, doors, arches leading to outdoors, figures; normal laws of gravity don't apply"
376,Naum Gabo ,"Linear Construction in Space no. 3, with Red",constructivism,MoMA,1,FALSE,sculpture,"sculpture, plexiglass & nylon wire, with aluminum base",73 x 46 x 47 cm,1953,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,4,2,0,1,3,FALSE,0,3,5,"construction, use of transparent materials, transparent plexi w/ red plexi, wavy strips as if floating material in wind winding around, wrapped, opposite of solid sculpture, large part of the piece is open spaces, view from all sides, delicacy, interdeterminance, form achieved through description of space rather than mass"
183,Cy Twombly,Academy ,,MoMA also Tate,1,TRUE,painting,"painting, oil-based house paint, lead pencil, colored pencil, & pastel on canvas",191 x 241 cm,1955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,3,2,0,1,4,FALSE,0,5,0,"searching, repeated, markmaking, allover, layering, use of letters, words, urgently drawn, erasure, obscuring lines, layers, calligraphic"
6,Joseph (Jef) Banc,Pair-Bearing Matrix ,abstraction,Tate,4,FALSE,painting,"painting, mixed media on canvas",73 x 60 cm,1956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,4,1,0,4,FALSE,0,0,5,"ambiguity through abstraction, odd shape, v textural"
13,FrМ©dМ©ric Benrath,Untitled,abstraction,Tate,4,FALSE,print,"print, lithograph on paper",43 x 29 cm,1956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,3,5,0,1,1,FALSE,0,5,3,"visceral, overlapping scratched, textural lines, massed in one area, weird hair-like textural qualty of lines, hard to tell what this texture is"
39,Sam Francis,Painting ,abstraction,Tate,1,FALSE,painting,"painting, watercolour on paper",63 x 49 cm,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,4,0,2,4,FALSE,0,5,3,"uncertainty in terms of handling of paint, tentative, drips"
352,Forrest Bess,Untitled,,MoMA,1,FALSE,painting,"painting, oil on canvas with wood frame",25 x 36 cm,1957,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,1,3,4,4,FALSE,0,5,5,"line suspended into empty space, illusion of deep recession, line w/ 2 half stripes on it - train tracks - curved, suspended, gets smaller, going into empty space / setting sun above the horizon"
65,Asger Jorn,Letter to my Son ,COBRA,Tate,18,FALSE,painting,"painting, oil on canvas",130 x 196 cm,1957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,4,2,0,2,FALSE,0,5,3,"paint drawn w/ energetic line, agitated painted marks"
185,Victor Vasarely,Vega ,op art,Wide Walls also Tate,21 ,FALSE,painting,"painting, acrylic on canvas",195 x 130 cm,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,2,0,0,2,4,FALSE,0,0,5,"morphs surface using repeated b&w tile shapes, surface doesn't look flat"
5,Gillian Avery,Distillation,abstraction,Tate,9,FALSE,painting,"painting, oil, household paint on hardboard",213 x 152 cm,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,1,2,0,2,4,FALSE,0,0,5,"shapes, layers, paint handlng/texture, orientation/placement/decreasing size descending down to left bottom of canvas; abstract, ambiguous"
41,Giuseppe Pinot-Gallizio,Industrial Painting ,abstraction,Tate,6,FALSE,sculpture,"sculpture, monoprinted oil, acrylic, ink on canvas",Canvas roll approx 2255 cm long,1958,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,1,1,FALSE,0,0,5,"hanging canvas - suspended roll of painted canvas just off the floor, invented chemical techniques, huge canvases"
